Item,Location,Series ID
All groups CPI,Australia,A128478317T
Food and non-alcoholic beverages,Australia,A128480733V
Bread and cereal products,Australia,A128475629X
Meat and seafoods,Australia,A128479215W
Dairy and related products,Australia,A128477405X
Fruit and vegetables,Australia,A128480215V
Food products n.e.c.,Australia,A128475329W
Non-alcoholic beverages,Australia,A128473623X
Alcohol and tobacco,Australia,A128477399R
Alcoholic beverages,Australia,A128479281V
Tobacco,Australia,A128484257R
Clothing and footwear,Australia,A128475583C
Garments,Australia,A128478847A
Housing,Australia,A128485865L
Rents,Australia,A128473449C
New dwelling purchase by owner-occupiers,Australia,A128475405L
Electricity,Australia,A128474303F
"Furnishings, household equipment and services",Australia,A128485881L
Health,Australia,A128473315W
Transport,Australia,A128482435J
Automotive fuel,Australia,A128484685K
Communication,Australia,A128475063X
Recreation and culture,Australia,A128478473V
Holiday travel and accommodation,Australia,A128475797K
Education,Australia,A128473361K
Insurance and financial services,Australia,A128477043A
All groups CPI excluding 'volatile items',Australia,A128473239F
